"","Original","Outcome","ES","TH","RRH","Prev","PrevEligible"
"1911","ES",0,0.34343474782524,0.276531267014455,0.270251084023682,NA,0
"1912","Prev",0,0.18357361432068,0.153546099385421,0.163718640359689,0.104673411011348,1
"1913","Prev",1,0.277505647822037,0.212821895497971,0.211057899960492,0.145557557083501,1
"1914","ES",1,0.685261818372457,0.700412392109904,0.675840646994413,0.609402082248705,1
"1915","ES",1,0.45941543308463,0.371037878968387,0.450341365139315,NA,0
"1916","Prev",1,0.121743817603193,0.144439131529857,0.111600453739962,0.070171909696865,1
"1917","Prev",0,0.386071046329448,0.365903364511949,0.364105756070784,0.27879963023254,1
"1918","TH",1,0.58024174768467,0.498696307707725,0.554455305927391,0.441833597016126,1
"1919","TH",1,0.45158471997916,0.398020908839091,0.395223889645429,0.328275966175742,1
"1920","Prev",0,0.167268232976642,0.152680212249059,0.1540716317592,0.108543875995673,1
"1921","TH",0,0.723251195363721,0.653988032349982,0.639080778188747,0.584428216128829,1
"1922","ES",0,0.592970828644677,0.503711338956757,0.506591888862773,0.461353616389452,1
"1923","ES",1,0.482525940362172,0.453592358146104,0.494651676022694,0.364357700676849,1
"1924","TH",1,0.362516759698096,0.283576259721405,0.343096770545595,0.226463007134974,1
"1925","Prev",0,0.182106309977631,0.124504764547214,0.164075183060763,0.0911015031257837,1
"1926","TH",0,0.276104122821173,0.181892248839004,0.332639860192751,NA,0
"1927","Prev",0,0.385224546704644,0.385549272723824,0.334369212616326,0.279568807027113,1
"1928","RRH",1,0.769478105630003,0.741826841162596,0.833457512986682,NA,0
"1929","Prev",0,0.211824691358428,0.201633393272428,0.223524966647695,0.149517793073744,1
"1930","TH",0,0.454630844788423,0.365161480087133,0.379813780518898,0.296670025556126,1
"1931","Prev",0,0.21905622005529,0.16265808852674,0.224936312464122,0.128533902826499,1
"1932","Prev",0,0.240086336144365,0.230604950690036,0.235805785477177,0.16829535903518,1
"1933","Prev",0,0.197678930602876,0.187712967616733,0.159475071646026,0.113520537551581,1
"1934","ES",1,0.497171894624074,0.405906836023747,0.440494541258204,0.346152889530394,1
"1935","ES",1,0.495084202106582,0.406271190890214,0.480743364669046,NA,0
"1936","TH",1,0.703536275986919,0.650918830605706,0.676734433770134,0.598233367516814,1
